"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26340","user can search for an employee by name","chromium","2026-07-09","passed","2026-07-09","Employee List","e2e\employeeSearch.spec.ts","",""
"","17798","user sees no records for a non-existent employee","chromium","2026-07-09","passed","2026-07-09","Employee List","e2e\employeeSearch.spec.ts","",""
"","18932","user can login with valid credentials","chromium","2026-07-09","passed","2026-07-09","","e2e\login.spec.ts","",""
"","13592","deleted employee does not appear in search","chromium","2026-07-09","passed","2026-07-09","Employee management with API setup","e2e\employeeWithApiSetup.spec.ts","",""
"","11656","user can search for an employee by name @smoke","chromium","2026-07-10","passed","2026-07-10","Employee List","e2e/employeeSearch.spec.ts","",""
"","21502","newly created employee appears in search results","chromium","2026-07-09","passed","2026-07-09","Employee management with API setup","e2e\employeeWithApiSetup.spec.ts","",""
"","11943","deleted employee does not appear in search @regression","chromium","2026-07-10","passed","2026-07-10","Employee management with API setup","e2e\employeeWithApiSetup.spec.ts","",""
"","10516","user sees no records for a non-existent employee @regression","chromium","2026-07-10","passed","2026-07-10","Employee List","e2e\employeeSearch.spec.ts","",""
"","4971","user can login with valid credentials @smoke @critical","chromium","2026-07-10","passed","2026-07-10","","e2e/login.spec.ts","",""
"","9005","newly created employee appears in search results @smoke","chromium","2026-07-10","passed","2026-07-10","Employee management with API setup","e2e/employeeWithApiSetup.spec.ts","",""
